sales,order_date,product,customer,country,region,employee,category,weekday,month,quarter,semester
858,2000-01-08,Monitor 4K,Global Corp,Brazil,América,Patricia Brown,Monitors,Saturday,January,Q1,1st sem.
2.64,2000-01-08,Decorative Throw Pillow,Global Corp,USA,América,Sandra Anderson,Home Decor,Saturday,January,Q1,1st sem.
61.59,2000-01-08,Monitor 4K,Pinnacle Tech,Germany,Europa,Robert Johnson,Monitors,Saturday,January,Q1,1st sem.
1.05,2000-01-09,Electric Guitar,Gadget Galaxy,South Africa,África,John Smith,Musical Instruments,Sunday,January,Q1,1st sem.
763.45,2000-01-09,Acoustic Piano,Elite Tech,USA,América,William Wilson,Musical Instruments,Sunday,January,Q1,1st sem.
96.59,2000-01-09,Solid State Drive,Pinnacle Tech,Japan,Asia,John Smith,Storage Devices,Sunday,January,Q1,1st sem.
217.43,2000-01-09,Acoustic Piano,Innovate Unlimited,Italy,Europa,Joseph Taylor,Musical Instruments,Sunday,January,Q1,1st sem.
222.98,2000-01-09,Sculpture,Elite Tech,South Africa,África,Joseph Taylor,Art,Sunday,January,Q1,1st sem.
331.35,2000-01-09,Bluetooth Speaker,Pinnacle Tech,Japan,Asia,Sandra Anderson,Audio Equipment,Sunday,January,Q1,1st sem.
427.58,2000-01-10,Smart Watch,SysTech Ltd.,Italy,Europa,Patricia Brown,Wearables,Monday,January,Q1,1st sem.
647.58,2000-01-10,Stainless Steel Water Bottle,Reboot IT,Spain,Europa,Joseph Taylor,Outdoor Gear,Monday,January,Q1,1st sem.
410.86,2000-01-10,Men's Sneakers,Pioneer Tech,South Korea,Asia,Robert Johnson,Footwear,Monday,January,Q1,1st sem.
572.98,2000-01-10,Landscape Painting,Innovate Unlimited,Nigeria,África,William Wilson,Art,Monday,January,Q1,1st sem.
943.92,2000-01-10,Wall Art,Tech Pioneers,Japan,Asia,Joseph Taylor,Home Decor,Monday,January,Q1,1st sem.
331.81,2000-01-10,Fitness Tracker,Tech Trends,South Africa,África,Laura Adams,Wearables,Monday,January,Q1,1st sem.
221.21,2000-01-10,Biography Book,Nebula Innovations,Mexico,América,Sandra Anderson,Books,Monday,January,Q1,1st sem.
959.03,2000-01-10,LED Desk Lamp,Global Corp,South Africa,África,Joseph Taylor,Lighting,Monday,January,Q1,1st sem.
156.72,2000-01-11,Wall Art,NextGen Innovators,China,Asia,Laura Adams,Home Decor,Tuesday,January,Q1,1st sem.
963.59,2000-01-11,Yoga Mat,Pinnacle Tech,Mexico,América,Sandra Anderson,Fitness Equipment,Tuesday,January,Q1,1st sem.
472.32,2000-01-12,Stainless Steel Water Bottle,Elite Tech,Mexico,América,Robert Johnson,Outdoor Gear,Wednesday,January,Q1,1st sem.
293.13,2000-01-12,Decorative Throw Pillow,Pinnacle Tech,South Africa,África,Michael Davis,Home Decor,Wednesday,January,Q1,1st sem.
137.11,2000-01-13,4K Television,Pioneer Tech,Japan,Asia,John Smith,Home Electronics,Thursday,January,Q1,1st sem.
143.73,2000-01-13,Leather Office Chair,Tech Pioneers,France,Europa,Robert Johnson,Office Furniture,Thursday,January,Q1,1st sem.
803.94,2000-01-13,Sculpture,Infinity Solutions,Spain,Europa,Linda Miller,Art,Thursday,January,Q1,1st sem.
992.88,2000-01-13,Microwave Oven,Reboot IT,India,Asia,Sandra Anderson,Kitchen Appliances,Thursday,January,Q1,1st sem.
261.06,2000-01-14,Wireless Mouse,Elite Tech,India,Asia,Sandra Anderson,Computer Accessories,Friday,January,Q1,1st sem.
141.62,2000-01-14,Hiking Boots,NextGen Innovators,Nigeria,África,Joseph Taylor,Outdoor Gear,Friday,January,Q1,1st sem.
710.39,2000-01-14,Air Purifier,SysTech Ltd.,France,Europa,Sarah Moore,Home Appliances,Friday,January,Q1,1st sem.
196.13,2000-01-14,Gaming Console,Infinity Solutions,Canada,América,Sandra Anderson,Video Games,Friday,January,Q1,1st sem.
684.08,2000-01-14,Wireless Mouse,Ultra Tech,Japan,Asia,Michael Davis,Computer Accessories,Friday,January,Q1,1st sem.
503.83,2000-01-14,Notebook Basic,Future Gadgets,Canada,América,Robert Johnson,Computers,Friday,January,Q1,1st sem.
909,2000-01-14,Smartphone Beta,Reboot IT,Japan,Asia,Linda Miller,Mobile Devices,Friday,January,Q1,1st sem.
708.8,2000-01-14,Ergonomic Desk,Pioneer Tech,India,Asia,John Smith,Office Furniture,Friday,January,Q1,1st sem.
83.25,2000-01-15,Acoustic Piano,Elite Tech,Germany,Europa,Joseph Taylor,Musical Instruments,Saturday,January,Q1,1st sem.
686.97,2000-01-15,Camping Tent,Gadget Galaxy,Canada,América,William Wilson,Outdoor Gear,Saturday,January,Q1,1st sem.
541.57,2000-01-16,Solid State Drive,Pioneer Tech,Italy,Europa,Laura Adams,Storage Devices,Sunday,January,Q1,1st sem.
408.7,2000-01-16,Gaming Console,NextGen Innovators,Germany,Europa,Linda Miller,Video Games,Sunday,January,Q1,1st sem.
823.27,2000-01-17,Pet Bed,Nebula Innovations,Egypt,África,Linda Miller,Pet Supplies,Monday,January,Q1,1st sem.
849.03,2000-01-17,Gaming Console,Future Gadgets,Italy,Europa,Patricia Brown,Video Games,Monday,January,Q1,1st sem.
220.67,2000-01-17,Smartphone Beta,Pioneer Tech,USA,América,Patricia Brown,Mobile Devices,Monday,January,Q1,1st sem.
91.5,2000-01-17,Smart Watch,Tech Trends,Kenya,África,Joseph Taylor,Wearables,Monday,January,Q1,1st sem.
964.27,2000-01-17,Gaming Console,Ultra Tech,China,Asia,Robert Johnson,Video Games,Monday,January,Q1,1st sem.
120.8,2000-01-17,Wall Art,Tech Pioneers,South Korea,Asia,Joseph Taylor,Home Decor,Monday,January,Q1,1st sem.
430.06,2000-01-17,Espresso Machine,Innovate Unlimited,China,Asia,Sarah Moore,Kitchen Appliances,Monday,January,Q1,1st sem.
829.14,2000-01-17,Notebook Professional,Gadget Galaxy,Brazil,América,Michael Davis,Computers,Monday,January,Q1,1st sem.
827.5,2000-01-17,LED Desk Lamp,Infinity Solutions,Germany,Europa,Patricia Brown,Lighting,Monday,January,Q1,1st sem.
788.76,2000-01-17,Sunglasses,Pinnacle Tech,Japan,Asia,Sandra Anderson,Fashion Accessories,Monday,January,Q1,1st sem.
662.94,2000-01-17,Science Fiction Novel,Innovate Unlimited,Spain,Europa,Joseph Taylor,Books,Monday,January,Q1,1st sem.
82.23,2000-01-18,Tablet Beta,SysTech Ltd.,Kenya,África,Robert Johnson,Mobile Devices,Tuesday,January,Q1,1st sem.
71.66,2000-01-18,Stainless Steel Water Bottle,Pioneer Tech,Kenya,África,William Wilson,Outdoor Gear,Tuesday,January,Q1,1st sem.
498.68,2000-01-18,Noise Cancelling Headphones,Gadget Galaxy,South Africa,África,Robert Johnson,Audio Equipment,Tuesday,January,Q1,1st sem.
973.97,2000-01-18,Sculpture,Infinity Solutions,Nigeria,África,Laura Adams,Art,Tuesday,January,Q1,1st sem.
866.25,2000-01-18,Air Purifier,Pinnacle Tech,South Africa,África,Joseph Taylor,Home Appliances,Tuesday,January,Q1,1st sem.
535.9,2000-01-18,Electric Guitar,Elite Tech,China,Asia,John Smith,Musical Instruments,Tuesday,January,Q1,1st sem.
952.52,2000-01-18,Wireless Mouse,Gadget Galaxy,USA,América,Sandra Anderson,Computer Accessories,Tuesday,January,Q1,1st sem.
909.71,2000-01-18,Leather Office Chair,Global Corp,Brazil,América,Patricia Brown,Office Furniture,Tuesday,January,Q1,1st sem.
366.11,2000-01-18,Gaming Console,Ultra Tech,Nigeria,África,Michael Davis,Video Games,Tuesday,January,Q1,1st sem.
621.49,2000-01-18,Smartphone Alpha,Nebula Innovations,Japan,Asia,Michael Davis,Mobile Devices,Tuesday,January,Q1,1st sem.
585.98,2000-01-18,Drone with Camera,Reboot IT,France,Europa,Laura Adams,Electronics,Tuesday,January,Q1,1st sem.
991.9,2000-01-18,Women's Sandals,Nebula Innovations,Nigeria,África,Joseph Taylor,Footwear,Tuesday,January,Q1,1st sem.
739.66,2000-01-18,Landscape Painting,Gadget Galaxy,Italy,Europa,Joseph Taylor,Art,Tuesday,January,Q1,1st sem.
810.43,2000-01-19,Notebook Professional,Reboot IT,Canada,América,William Wilson,Computers,Wednesday,January,Q1,1st sem.
516.33,2000-01-19,Video Game Controller,Innovate Unlimited,South Korea,Asia,Patricia Brown,Video Games,Wednesday,January,Q1,1st sem.
110.53,2000-01-19,Microwave Oven,Tech Pioneers,Germany,Europa,Michael Davis,Kitchen Appliances,Wednesday,January,Q1,1st sem.
933.91,2000-01-19,Robot Vacuum,Pinnacle Tech,Nigeria,África,Joseph Taylor,Home Appliances,Wednesday,January,Q1,1st sem.
155.11,2000-01-19,Robot Vacuum,Reboot IT,Brazil,América,Patricia Brown,Home Appliances,Wednesday,January,Q1,1st sem.
162.55,2000-01-19,Men's Sneakers,SysTech Ltd.,Italy,Europa,Linda Miller,Footwear,Wednesday,January,Q1,1st sem.
954.48,2000-01-19,Fitness Tracker,Nebula Innovations,USA,América,Sarah Moore,Wearables,Wednesday,January,Q1,1st sem.
535.98,2000-01-19,Desktop Beta,Future Gadgets,Japan,Asia,Sandra Anderson,Computers,Wednesday,January,Q1,1st sem.
221.12,2000-01-20,Decorative Throw Pillow,Ultra Tech,South Korea,Asia,Joseph Taylor,Home Decor,Thursday,January,Q1,1st sem.
24.68,2000-01-20,Dumbbell Set,Elite Tech,Kenya,África,John Smith,Fitness Equipment,Thursday,January,Q1,1st sem.
253.62,2000-01-20,Desktop Alpha,Infinity Solutions,France,Europa,Patricia Brown,Computers,Thursday,January,Q1,1st sem.
969.59,2000-01-20,USB Keyboard,NextGen Innovators,Mexico,América,William Wilson,Computer Accessories,Thursday,January,Q1,1st sem.
975.13,2000-01-21,Smartphone Beta,Pinnacle Tech,Brazil,América,Patricia Brown,Mobile Devices,Friday,January,Q1,1st sem.
25.1,2000-01-21,Robot Vacuum,Gadget Galaxy,France,Europa,Sandra Anderson,Home Appliances,Friday,January,Q1,1st sem.
179.36,2000-01-21,Dumbbell Set,NextGen Innovators,Nigeria,África,William Wilson,Fitness Equipment,Friday,January,Q1,1st sem.
898.29,2000-01-21,Sculpture,Nebula Innovations,Italy,Europa,Robert Johnson,Art,Friday,January,Q1,1st sem.
84.27,2000-01-21,Bluetooth Speaker,Elite Tech,China,Asia,John Smith,Audio Equipment,Friday,January,Q1,1st sem.
265.03,2000-01-21,Smart Watch,Reboot IT,USA,América,Robert Johnson,Wearables,Friday,January,Q1,1st sem.
141.01,2000-01-21,Sunglasses,Global Corp,Japan,Asia,Patricia Brown,Fashion Accessories,Friday,January,Q1,1st sem.
529.11,2000-01-21,Men's Sneakers,Gadget Galaxy,Egypt,África,Sandra Anderson,Footwear,Friday,January,Q1,1st sem.
953.4,2000-01-21,Biography Book,Ultra Tech,Brazil,América,Michael Davis,Books,Friday,January,Q1,1st sem.
504.7,2000-01-21,LED Desk Lamp,Pinnacle Tech,South Africa,África,Joseph Taylor,Lighting,Friday,January,Q1,1st sem.
4.83,2000-01-21,Smart Watch,Innovate Unlimited,South Africa,África,Sarah Moore,Wearables,Friday,January,Q1,1st sem.
915.72,2000-01-22,Desktop Alpha,NextGen Innovators,Canada,América,Patricia Brown,Computers,Saturday,January,Q1,1st sem.
265.07,2000-01-22,Sculpture,Elite Tech,Canada,América,Michael Davis,Art,Saturday,January,Q1,1st sem.
846.75,2000-01-22,Wall Art,Nebula Innovations,Germany,Europa,William Wilson,Home Decor,Saturday,January,Q1,1st sem.
32.7,2000-01-22,Yoga Mat,Innovate Unlimited,Germany,Europa,John Smith,Fitness Equipment,Saturday,January,Q1,1st sem.
82.27,2000-01-22,Sculpture,Ultra Tech,France,Europa,Laura Adams,Art,Saturday,January,Q1,1st sem.
40.54,2000-01-22,Dumbbell Set,Elite Tech,Nigeria,África,Joseph Taylor,Fitness Equipment,Saturday,January,Q1,1st sem.
771.49,2000-01-22,LED Desk Lamp,Pioneer Tech,Italy,Europa,Robert Johnson,Lighting,Saturday,January,Q1,1st sem.
968.65,2000-01-22,Men's Sneakers,Infinity Solutions,Egypt,África,Sarah Moore,Footwear,Saturday,January,Q1,1st sem.
669,2000-01-22,Biography Book,Pinnacle Tech,Brazil,América,Patricia Brown,Books,Saturday,January,Q1,1st sem.
288.21,2000-01-22,Video Game Controller,Reboot IT,Germany,Europa,John Smith,Video Games,Saturday,January,Q1,1st sem.
414.33,2000-01-22,Smartphone Beta,Innovate Unlimited,Nigeria,África,Patricia Brown,Mobile Devices,Saturday,January,Q1,1st sem.
452.53,2000-01-22,Sculpture,Pioneer Tech,Brazil,América,Laura Adams,Art,Saturday,January,Q1,1st sem.
75.37,2000-01-22,Electric Guitar,NextGen Innovators,USA,América,Michael Davis,Musical Instruments,Saturday,January,Q1,1st sem.
506.34,2000-01-22,Cat Litter Box,Ultra Tech,Canada,América,William Wilson,Pet Supplies,Saturday,January,Q1,1st sem.
973.83,2000-01-22,Dumbbell Set,Pioneer Tech,Nigeria,África,Robert Johnson,Fitness Equipment,Saturday,January,Q1,1st sem.
808.11,2000-01-22,Tablet Alpha,Infinity Solutions,China,Asia,Joseph Taylor,Mobile Devices,Saturday,January,Q1,1st sem.
164.32,2000-01-22,Notebook Professional,Tech Trends,Japan,Asia,William Wilson,Computers,Saturday,January,Q1,1st sem.
238.88,2000-01-23,Virtual Reality Headset,Pioneer Tech,Japan,Asia,Robert Johnson,Electronics,Sunday,January,Q1,1st sem.
283.28,2000-01-23,Stainless Steel Water Bottle,Reboot IT,South Korea,Asia,Laura Adams,Outdoor Gear,Sunday,January,Q1,1st sem.
772.8,2000-01-23,Stainless Steel Water Bottle,Nebula Innovations,Nigeria,África,Joseph Taylor,Outdoor Gear,Sunday,January,Q1,1st sem.
779.66,2000-01-23,Ergonomic Desk,Pinnacle Tech,Egypt,África,Laura Adams,Office Furniture,Sunday,January,Q1,1st sem.
73.9,2000-01-23,Pet Bed,Pioneer Tech,South Africa,África,Joseph Taylor,Pet Supplies,Sunday,January,Q1,1st sem.
974.21,2000-01-23,Desktop Beta,Pioneer Tech,India,Asia,Robert Johnson,Computers,Sunday,January,Q1,1st sem.
879.91,2000-01-23,Pet Bed,Elite Tech,France,Europa,Sarah Moore,Pet Supplies,Sunday,January,Q1,1st sem.
27.59,2000-01-23,Streaming Media Player,Pioneer Tech,South Africa,África,Patricia Brown,Home Electronics,Sunday,January,Q1,1st sem.
814.01,2000-01-24,Smartphone Alpha,Reboot IT,Kenya,África,Linda Miller,Mobile Devices,Monday,January,Q1,1st sem.
878.41,2000-01-24,4K Television,SysTech Ltd.,South Korea,Asia,Sandra Anderson,Home Electronics,Monday,January,Q1,1st sem.
855.64,2000-01-24,Stainless Steel Water Bottle,Nebula Innovations,France,Europa,Sarah Moore,Outdoor Gear,Monday,January,Q1,1st sem.
691.23,2000-01-24,Stainless Steel Water Bottle,Pinnacle Tech,South Africa,África,Michael Davis,Outdoor Gear,Monday,January,Q1,1st sem.
224.64,2000-01-24,Monitor HD,Innovate Unlimited,France,Europa,Patricia Brown,Monitors,Monday,January,Q1,1st sem.
117.31,2000-01-24,Women's Sandals,Global Corp,Germany,Europa,Sarah Moore,Footwear,Monday,January,Q1,1st sem.
404.45,2000-01-24,Virtual Reality Headset,Tech Trends,Egypt,África,Linda Miller,Electronics,Monday,January,Q1,1st sem.
718.52,2000-01-24,Acoustic Piano,SysTech Ltd.,Italy,Europa,Linda Miller,Musical Instruments,Monday,January,Q1,1st sem.
926.89,2000-01-24,Wireless Mouse,Tech Pioneers,Canada,América,Michael Davis,Computer Accessories,Monday,January,Q1,1st sem.
372.25,2000-01-24,Sculpture,Gadget Galaxy,South Korea,Asia,Robert Johnson,Art,Monday,January,Q1,1st sem.
184.22,2000-01-24,Monitor HD,Global Corp,China,Asia,Sarah Moore,Monitors,Monday,January,Q1,1st sem.
422.79,2000-01-24,Fitness Tracker,Gadget Galaxy,Canada,América,John Smith,Wearables,Monday,January,Q1,1st sem.
559.87,2000-01-24,Yoga Mat,Elite Tech,France,Europa,Linda Miller,Fitness Equipment,Monday,January,Q1,1st sem.
131.5,2000-01-24,Tablet Alpha,Infinity Solutions,Canada,América,Laura Adams,Mobile Devices,Monday,January,Q1,1st sem.
826.14,2000-01-24,Sunglasses,NextGen Innovators,Canada,América,John Smith,Fashion Accessories,Monday,January,Q1,1st sem.
314.24,2000-01-24,Gaming Console,Pioneer Tech,USA,América,Michael Davis,Video Games,Monday,January,Q1,1st sem.
900.41,2000-01-24,Wall Art,Global Corp,Egypt,África,Sarah Moore,Home Decor,Monday,January,Q1,1st sem.
341.23,2000-01-24,Smartphone Beta,Nebula Innovations,Spain,Europa,Michael Davis,Mobile Devices,Monday,January,Q1,1st sem.
24.01,2000-01-24,USB Keyboard,Future Gadgets,France,Europa,Patricia Brown,Computer Accessories,Monday,January,Q1,1st sem.
30.3,2000-01-24,Robot Vacuum,Nebula Innovations,Spain,Europa,Patricia Brown,Home Appliances,Monday,January,Q1,1st sem.
817.55,2000-01-25,Electric Guitar,Future Gadgets,Mexico,América,Linda Miller,Musical Instruments,Tuesday,January,Q1,1st sem.
541.63,2000-01-25,Men's Sneakers,Innovate Unlimited,India,Asia,Robert Johnson,Footwear,Tuesday,January,Q1,1st sem.
580.67,2000-01-25,Video Game Controller,Pioneer Tech,Spain,Europa,Robert Johnson,Video Games,Tuesday,January,Q1,1st sem.
977.85,2000-01-25,Biography Book,Nebula Innovations,France,Europa,Laura Adams,Books,Tuesday,January,Q1,1st sem.
781.53,2000-01-25,Yoga Mat,NextGen Innovators,Japan,Asia,Linda Miller,Fitness Equipment,Tuesday,January,Q1,1st sem.
805.54,2000-01-25,Tablet Beta,Future Gadgets,Italy,Europa,Sandra Anderson,Mobile Devices,Tuesday,January,Q1,1st sem.
566.77,2000-01-26,Bluetooth Speaker,Innovate Unlimited,South Africa,África,Joseph Taylor,Audio Equipment,Wednesday,January,Q1,1st sem.
526.23,2000-01-26,Tablet Beta,Gadget Galaxy,South Africa,África,Michael Davis,Mobile Devices,Wednesday,January,Q1,1st sem.
915.96,2000-01-26,Notebook Professional,Pinnacle Tech,Kenya,África,John Smith,Computers,Wednesday,January,Q1,1st sem.
76.49,2000-01-26,4K Television,Infinity Solutions,Brazil,América,John Smith,Home Electronics,Wednesday,January,Q1,1st sem.
893.32,2000-01-26,USB Keyboard,Global Corp,Kenya,África,Michael Davis,Computer Accessories,Wednesday,January,Q1,1st sem.
328.8,2000-01-26,Electric Guitar,Reboot IT,Kenya,África,Joseph Taylor,Musical Instruments,Wednesday,January,Q1,1st sem.
984.9,2000-01-27,Tablet Beta,Pinnacle Tech,South Africa,África,Sandra Anderson,Mobile Devices,Thursday,January,Q1,1st sem.
213.1,2000-01-27,USB Keyboard,Gadget Galaxy,China,Asia,Patricia Brown,Computer Accessories,Thursday,January,Q1,1st sem.
441.15,2000-01-27,Monitor 4K,Pinnacle Tech,USA,América,Robert Johnson,Monitors,Thursday,January,Q1,1st sem.
267.58,2000-01-27,Desktop Alpha,Infinity Solutions,Italy,Europa,Michael Davis,Computers,Thursday,January,Q1,1st sem.
246.24,2000-01-27,Monitor HD,Reboot IT,South Korea,Asia,Patricia Brown,Monitors,Thursday,January,Q1,1st sem.
460.02,2000-01-27,Tablet Alpha,Infinity Solutions,Spain,Europa,Laura Adams,Mobile Devices,Thursday,January,Q1,1st sem.
758.81,2000-01-28,Decorative Throw Pillow,Ultra Tech,Spain,Europa,Linda Miller,Home Decor,Friday,January,Q1,1st sem.
467.85,2000-01-28,Espresso Machine,Innovate Unlimited,Brazil,América,Joseph Taylor,Kitchen Appliances,Friday,January,Q1,1st sem.
14.55,2000-01-29,Electric Guitar,Reboot IT,South Korea,Asia,John Smith,Musical Instruments,Saturday,January,Q1,1st sem.
710.84,2000-01-29,Wireless Mouse,Gadget Galaxy,Germany,Europa,Linda Miller,Computer Accessories,Saturday,January,Q1,1st sem.
228.92,2000-01-29,Camping Tent,Gadget Galaxy,South Korea,Asia,Laura Adams,Outdoor Gear,Saturday,January,Q1,1st sem.
5.72,2000-01-29,Wristwatch,Elite Tech,USA,América,Linda Miller,Fashion Accessories,Saturday,January,Q1,1st sem.
5.58,2000-01-29,Ergonomic Desk,Future Gadgets,Germany,Europa,Robert Johnson,Office Furniture,Saturday,January,Q1,1st sem.
405.3,2000-01-29,Ergonomic Desk,NextGen Innovators,Brazil,América,Sarah Moore,Office Furniture,Saturday,January,Q1,1st sem.
956.17,2000-01-29,Wireless Mouse,Innovate Unlimited,China,Asia,Sarah Moore,Computer Accessories,Saturday,January,Q1,1st sem.
492.75,2000-01-29,Robot Vacuum,Pinnacle Tech,Spain,Europa,Sandra Anderson,Home Appliances,Saturday,January,Q1,1st sem.
811.4,2000-01-29,Smart Watch,NextGen Innovators,Kenya,África,Michael Davis,Wearables,Saturday,January,Q1,1st sem.
487.94,2000-01-30,Stainless Steel Water Bottle,Elite Tech,USA,América,Joseph Taylor,Outdoor Gear,Sunday,January,Q1,1st sem.
